"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"0005af13bc9fe59ce5ad36980f112e78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"00080336d6a55369d42541762f53c6d6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"00082bf262882a1ee40f53f528bad2b8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"001cceec476800638f6cb8ce721ab059"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0023e83691329b2d5464ca6174a32f3d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"002eca378d15a68398beeab00cc98e21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0041ce94984d6529538669ccebdf47a0"	NA	0.0353268145164958	NA	NA	-0.000493132498471343	NA	NA	NA	NA	0.187976633219016	NA	NA
"004780e9949627dbacb8f30d736fc4a2"	NA	NA	0.0471778801080097	0.0719459538454193	NA	-0.0345405140642927	-0.0358596613982121	NA	NA	NA	0.346139292136074	0.574858058310773
"00511437619de39d000592770952d0da"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"005646e433ce8f311cf4f4fe08f6eeea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"005c30bfb686d874b9ecfafb3986f007"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"006ba6286f6074323c6782c608225d73"	0.0827935392929866	0.732077556581856	0.178820789719915	0.819331530645718	-0.00779738155439634	0.0195403566379699	0.00185141949199982	0.0331140459256881	0.295899445008385	0.829987315682987	0.464427722894644	0.976739603477081
"006e0088c1e1bb4bd6fbfa962a923842"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"006ef036e308b2da11d877cfff342959"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"007399dec263c7ebd67cd392be16e604"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0076a793ecc8797b472d3a4c79b1db03"	0.0019954195103495	0.0261570828858379	0.0816992908263127	NA	0.0446293055742482	0.0219938951742075	NA	0.0560060669479809	0.0456595011386027	0.187976633219016	0.431678020486072	NA
"007787a6bf114c4b193f880804858a86"	0.115501644010857	NA	NA	NA	NA	NA	NA	0.0140928829385269	0.344983273016671	NA	NA	NA
