"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SubG_GLM_slope"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae"	1.30871327247143e-05	0.000165053324091526	0.0294993724981287	0.51399023725938	-0.0615570739892947	-0.0496580616936002	-0.0171679082210644	-0.00843997237300341	0.000111240628160071	0.00105221494108348	0.14308912574874	0.689829002637589
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae"	0.887217377263621	0.192635910511238	0.18367455813796	0.208055893312232	-0.00281086300860857	-0.0153086101516967	-0.0151841632173387	0.00621987025964099	0.904961724808893	0.272900873224254	0.317257652346587	0.589491697717991
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae"	0.641199437981898	0.990887717684032	0.000497228808323771	0.813324759835412	-0.00757569855909708	-0.000237850807817688	0.0530548407455825	-0.0038406015196487	0.681274402855767	0.990887717684032	0.00845288974150411	0.882543888332043
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae"	6.00168829684182e-08	0.000197459529262062	0.235236847279307	0.046346861547707	-0.139565413592572	-0.088939214434443	-0.0115346571194774	-0.0364783346477462	3.06086103138933e-06	0.00111796541880502	0.374908725351396	0.472737987786611
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae"	0.0879424093834802	0.189289576296404	0.0622367444521199	0.346966867184264	-0.0312982261017845	-0.0295615131388388	0.0246799321512596	0.013208614253905	0.128144653673071	0.272900873224254	0.211604931137208	0.689829002637589
"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae"	0.810463817684957	0.215000484030527	0.0272809704282152	0.252582094734476	0.00623145701383777	-0.0211891039033096	-0.0181213284112132	-0.0155646720818805	0.843543973508832	0.296352018528565	0.14308912574874	0.616113780453736
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae"	0.00330959663210088	0.00486481259611948	0.599089512229362	0.718366239276512	-0.0494930734667414	-0.0462579765491359	-0.00652508271790719	-0.00664435712078448	0.0084947089225457	0.0145944377883584	0.708972908681948	0.832838778256613
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_Incertae_Sedis"	0.915776309404512	0.425360578523847	0.176122259487547	0.453078860281814	-0.00159295490268064	-0.00930884214884226	0.011117358858875	0.00122773024529846	0.915776309404512	0.516509273921815	0.317257652346587	0.689829002637589
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae"	0.00622733969022529	0.0683846823357561	0.402902816363698	0.160709209449299	-0.0422689339142787	-0.0160299043484104	0.00613417613825944	-0.0333446413759312	0.0144361056455223	0.108988087472611	0.554540729858062	0.570541094136327
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae"	0.000311822668076525	0.01168560550037	0.00312835721180869	0.458857723570505	0.0872858014076838	0.0723863241833268	0.0535385598852844	0.0132295029025342	0.00155155371666458	0.0313666252904669	0.0398865544505608	0.689829002637589
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae"	0.00286626617959525	0.00118590532787857	0.00486934403322924	0.974144405427741	0.0587065082179143	0.0469984735178435	0.0286308604405683	0.000692385702970636	0.0084947089225457	0.00465239782475439	0.0496673091389383	0.993627293536296
