"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SubG_GLM_slope"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces"	4.13271181046579e-06	0.000265883905305476	0.0709367089932491	0.418423208884439	-0.0709696813754768	-0.0573456994598625	-0.021924956037339	-0.0152037019660059	8.44909970139673e-05	0.002117685848856	0.251006816437651	0.844052623911473
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_dentalis"	0.344477319519027	0.305591260839703	0.00487148008706285	0.179075820543495	0.018873124495921	-0.0187979077584246	-0.00156097071967735	0.005724980191185	0.473013632772395	0.439287437457073	0.0471764387378718	0.624729454740992
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_genomosp."	0.518115144895887	0.419897770864743	0.0887061511871921	0.797720343431379	0.0127229582960748	-0.0149341233338891	-0.00668028348890034	-0.000216281356471664	0.619046666628851	0.551865641707948	0.264031824665365	0.889579049644689
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_graevenitzii"	0.109098633624945	0.0844068424961411	0.0329169901463458	0.347147257655768	-0.00643330891549166	-0.00593037963031603	-0.0292267898546766	-0.0148033087374681	0.220595039417471	0.191739000238148	0.141688788585968	0.778964578154405
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Schaalia_odontolytica"	0.208087695452274	0.811390661430288	0.0854848327090603	0.571591842113475	-0.0261949654212529	-0.00424026184832043	-0.0144693483086345	-0.00731507877207329	0.341858356814451	0.862981975162849	0.262153486974452	0.889579049644689
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__F0332; s__uncultured_bacterium"	0.162370695087471	8.35970976111562e-05	0.399396081165755	0.797720343431379	-0.0340707892405554	-0.099412548914322	-0.00831527200648217	-0.000216281356471664	0.296614280177256	0.000991429494924251	0.583245070908721	0.889579049644689
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__F0332; s__unidentified"	0.746715668281329	0.124950709998982	0.508423898234084	0.174821174209164	0.00554125117400036	0.0242766205727941	0.0039491382765388	-0.00481467539199767	0.815356129326095	0.252647589448492	0.673021563130011	0.624729454740992
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Scardovia; s__Scardovia_wiggsiae"	0.912740029733744	0.150410576826713	0.186833690532452	0.797720343431379	-0.00210818949249352	-0.0165663449840683	-0.0151344350534128	-0.000216281356471664	0.956525329885806	0.262210313022286	0.410523154916132	0.889579049644689
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_durum"	2.0065490099936e-05	0.000853588464997041	0.0297752100551519	0.823168198996228	-0.0966609754854506	-0.0731715370501022	0.0248957028314826	0.00123876047533176	0.000230753136149264	0.00541587163998122	0.136965966253699	0.912427401297023
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_matruchotii"	0.229990900691607	0.48465882480893	0.000840766105033146	0.982761056807461	0.0255448892213415	0.0155341141110979	0.0544112276323289	-0.000337939908488108	0.36481315282117	0.615015336309263	0.0154700963326099	0.99356062886029
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia"	3.68681083334646e-08	0.000187124625085859	0.23517800976023	0.0460300848242026	-0.143290902576827	-0.0907589180762456	-0.011520425522024	-0.0368760488317375	6.78373193335748e-06	0.00181215426398937	0.475519316568725	0.528841787961106
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Pseudopropionibacterium"	0.614772587968372	0.922996921805705	0.0846065097913539	0.471599246564898	0.0116916802242314	-0.00232830017978566	0.0166859742819533	-0.00642425140552243	0.715937697380889	0.938295213327347	0.262153486974452	0.883560609455391
"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Pseudopropionibacterium; s__uncultured_bacterium"	0.44646075607485	0.33769101463961	0.109995823301325	0.0997560545335669	-0.0160030385278485	-0.0231619495997238	0.0178361508407256	0.0111453230051447	0.544031649786572	0.467181554087881	0.289131878392055	0.624729454740992
"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium"	0.716503877239313	0.69166077619869	0.248097034731509	0.22741959298279	0.00883715392100596	-0.00556419307589592	-0.0111336755686506	-0.0159623862658713	0.805498496071856	0.768117191210875	0.475519316568725	0.640726479793687
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides"	0.00549209437906542	0.00507230606859728	0.423307683900897	0.583681769089493	-0.041787852715702	-0.0390935891800522	-0.00873887175888388	-0.00822231637813043	0.0219683775162617	0.0222215313481405	0.587142111635822	0.889579049644689
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_Incertae_Sedis; g__Phocaeicola; s__Phocaeicola_abscessus"	0.729454299115346	0.347238841111712	0.176237985653999	0.651063997791775	-0.0051993790400768	-0.011131793390728	0.011167087022801	0.000830016061307475	0.805498496071856	0.469793726209964	0.405347367004198	0.889579049644689
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0.0191914475475632	0.0360205359951014	0.821339621606885	0.243331013099978	-0.0259624077330554	-0.0130301129154246	0.000805607042025548	-0.0221465831855092	0.056329685571238	0.103602834707539	0.888979355150982	0.644199964916684
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium"	0.00663843477425656	0.189919441298002	0.491613216143113	0.130315671111609	-0.0398412744433091	-0.00947801629767776	0.0041570169632813	-0.0314993074795489	0.0252608532088396	0.317683429080294	0.655484288190817	0.624729454740992
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__F0058; s__uncultured_bacterium"	0.000368247339926114	0.00911037885413839	0.00329455575046169	0.484777320381358	0.0864110548851669	0.0760170800542402	0.053260888287411	0.0125113389693802	0.00236571401620898	0.035666164024712	0.0432998755774965	0.883560609455391
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas"	0.0198667468106499	0.202136972291019	0.0124166387476035	0.989385546292517	0.0506487583346243	0.0244760452402801	0.0264585659030389	0.000289988331863128	0.0571168970806186	0.332082168763817	0.0742738717258452	0.994792024687558
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_catoniae"	0.00149448597595272	3.6275683067534e-05	4.52182524612525e-05	0.631428430174254	0.111546342565114	0.131292170860107	0.112265936017613	-0.00335517360980912	0.0068746354893825	0.000556227140368855	0.00208003961321762	0.889579049644689
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_gingivalis"	0.278362371310494	0.833794770246424	0.518261340824905	0.174676041413476	0.0195734697403677	0.00210825452370014	0.00368688955690652	-0.0122474409597252	0.409749410569047	0.881714009915759	0.674530386908746	0.624729454740992
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__uncultured_bacterium"	0.00258493634811848	0.0387184021249476	0.00481658748705827	0.406287303289614	0.0967737628261067	0.0553983551554704	0.0751459286842607	0.0104120656343201	0.0110611229779954	0.109602861399852	0.0471764387378718	0.844052623911473
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae"	0.203336853717361	0.036004386887378	0.697166128594842	0.236790220793319	-0.0250564670629852	-0.0280308371756932	0.00478703968641755	-0.0149058363725676	0.340733332574088	0.103602834707539	0.788096453298348	0.640726479793687
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella"	0.000143909025779514	0.00119486041666782	0.0338951900852507	0.937058254220504	0.10533921883712	0.0889108295733704	0.0458250091130718	0.00226079270390367	0.00118571278327329	0.0073284772222293	0.141688788585968	0.985249821580416
"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella; s__Alloprevotella_rava"	0.920135779292324	0.921529319769432	0.246011027370714	0.75170669555651	0.0021190647818047	0.00167251288913871	-0.0170228480629557	-0.00490571701326897	0.956525329885806	0.938295213327347	0.475519316568725	0.889579049644689
