	SubG_GLM_p	SupG_GLM_p	Sal_GLM_p	T_GLM_p	SubG_GLM_slope	SupG_GLM_slope	Sal_GLM_slope	T_GLM_slope	SubG_GLM_p_adj	SupG_GLM_p_adj	Sal_GLM_p_adj	T_GLM_p_adj
d__Bacteria; p__Patescibacteria	0.042830697176175	0.002316492527384	0.065211748964531	0.417807787007571	0.050874338780462	0.058775831769884	0.030086307089528	0.014170109068792	0.047113766893792	0.006370354450305	0.358664619304921	0.664664832439384
d__Bacteria; p__Actinobacteriota	0.000701905274457	0.014806922072125	0.04947559176289	0.422968529734154	-0.045228066500449	-0.030144819657256	-0.013463768904996	-0.009410280377077	0.001544191603805	0.020359517849171	0.358664619304921	0.664664832439384
d__Bacteria; p__Spirochaetota	2.17921067107629E-06	0.014039603442375	0.112751373750656	0.280665092837246	0.111245706491136	0.066192036319116	0.017587756347965	0.022555420935364	2.39713173818391E-05	0.020359517849171	0.413421703752407	0.617463204241942
d__Bacteria; p__Campilobacterota	0.034133193418566	0.038469221856548	0.20955363443405	0.972489477326771	0.028358920774713	0.02578058756927	-0.011743694089718	0.000441189745677	0.04171834751158	0.047017937824669	0.46101799575491	0.972489477326771
d__Bacteria; p__Firmicutes	0.022485536928879	0.07232847924073	0.179986569650556	0.118311578010813	-0.019558792430741	-0.01315715951797	-0.007076663634764	-0.01095485087429	0.033782695766115	0.079561327164803	0.46101799575491	0.617463204241942
d__Bacteria; p__Synergistota	0.13614729719086	0.83592760798724	0.419741846144031	0.18500634752026	0.036817247147292	-0.004650000384101	-0.009941017471093	-0.012655776298238	0.13614729719086	0.83592760798724	0.769526717930724	0.617463204241942
d__Bacteria; p__Bacteroidota	0.000248688286321	4.29121683217837E-05	0.914549081007835	0.753687866524146	0.036962161049126	0.034731118249852	-0.000730877832368	0.002198263858861	0.000911857049845	0.00047203385154	0.927500299348002	0.89676252394877
d__Bacteria; p__Fusobacteriota	0.000610935524333	0.000202432982467	0.763703081135003	0.115741726768429	0.041129793828671	0.039213709373323	0.002585208623846	0.017185333554487	0.001544191603805	0.001113381403567	0.927500299348002	0.617463204241942
d__Bacteria; p__Proteobacteria	0.000101740451267	0.001389734404911	0.855368340660215	0.240850075053431	-0.043187329634498	-0.027932793261082	-0.001513789628684	-0.017610401493134	0.000559572481966	0.005095692818006	0.927500299348002	0.617463204241942
d__Bacteria; p__Cyanobacteria	0.024569233284447	0.00841685408648	0.927500299348002	0.815238658135245	-0.039377436827527	-0.041201322754407	-0.000874273526199	-0.004850016764062	0.033782695766115	0.018517078990255	0.927500299348002	0.89676252394877
d__Bacteria; p__Desulfobacterota	0.010102450966822	0.010249644458417	0.697253620303664	0.572794258674897	-0.065308711146532	-0.051309919673863	-0.005169400769893	-0.008993541816489	0.018521160105841	0.018791014840431	0.927500299348002	0.787592105677983
