Taxon	Confidence	SubG_GLM_p	SubG_GLM_time_slope	SupG_GLM_p	SupG_GLM_time_slope	Sal_GLM_p	Sal_GLM_time_slope	T_GLM_p	T_GLM_time_slope	SubG_GLM_p_adj	SupG_GLM_p_adj	Sal_GLM_p_adj	T_GLM_p_adj
65ea29ca393913bae72568939deb19aa	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.94730489385382	NA	NA	NA	NA	NA	NA	0.0753477191605018	-0.00175749636705088	NA	NA	NA	0.441124453089317
b351168cf45f9c4c4553b1afad830a64	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.999911418267918	0.182648242492955	-0.000864519305113791	NA	NA	NA	NA	NA	NA	0.332528341082246	NA	NA	NA
c2b6720265487295e8a106c10676f904	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__	0.967731218521351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75eee9b859872ba8c721d1b3174dc13e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.922114754799845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4985b49ce5f93a17f621975e74ac2f58	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__	0.922331110281087	NA	NA	0.658579078683434	-0.00110912175755741	NA	NA	NA	NA	NA	0.725361203457171	NA	NA
82dfd765617ade9ff0fe4bcfe710cc22	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	0.999422003768242	NA	NA	0.182648237975712	-0.00656750855830089	NA	NA	NA	NA	NA	0.352134631916777	NA	NA
031108973c26247ba03a35283c643211	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__perfringens	0.988640170324386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
368fb2bb1641973ce1b2ed533bf1b5c0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.992254553930925	NA	NA	0.658579078683439	0.00277782553699503	NA	NA	NA	NA	NA	0.725361203457171	NA	NA
cdccd1c3560b21b3d40ba3d9e44dc330	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.998894580456987	0.658579078683432	0.00271166434618128	NA	NA	NA	NA	NA	NA	0.72143743013185	NA	NA	NA
3975066bb5bd655ded1789074d65362b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__endodontalis	0.999936954064145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
