	pielou_evenness
P11-Sal-0	0.7234200901460698
P11-Sal-14	0.7494222295433776
P11-Sal-21	0.6838980678238387
P11-Sal-28	0.7028980860145778
P11-Sal-35	0.7001832150003754
P11-Sal-7	0.7069290759541655
P11-Sal-B	0.7326490159243069
P11-SubG-0	0.6695476215283196
P11-SubG-14	0.7760482104363613
P11-SubG-21	0.8407718723187694
P11-SubG-28	0.8244695581329525
P11-SubG-35	0.7985061521174074
P11-SubG-7	0.6858543525557245
P11-SubG-B	0.6501351399304646
P11-SupG-0	0.6467876761179914
P11-SupG-14	0.7100112393307619
P11-SupG-21	0.7127089483197614
P11-SupG-28	0.7225648002067
P11-SupG-35	0.7130183807552591
P11-SupG-7	0.6615888402787522
P11-SupG-B	0.6823818966530808
P11-T-0	0.79444156971122
P11-T-14	0.7193556541966815
P11-T-21	0.8079196856011516
P11-T-28	0.7622961634763401
P11-T-35	0.7257204553643578
P11-T-7	0.6473893641686304
P11-T-B	0.7134078829285989
P12-Sal-0	0.666712121026905
P12-Sal-14	0.8137816424871318
P12-Sal-21	0.7431138006781199
P12-Sal-28	0.8111429645825057
P12-Sal-35	0.6810920141765356
P12-Sal-7	0.6920969666252326
P12-Sal-B	0.6247166231929001
P12-SubG-0	0.7992164445384898
P12-SubG-14	0.8359074718085381
P12-SubG-21	0.8065275520755922
P12-SubG-28	0.784412988001718
P12-SubG-35	0.754935585702566
P12-SubG-7	0.8214875455877773
P12-SubG-B	0.7648649164143273
P12-SupG-0	0.8451774707029032
P12-SupG-14	0.7957362263056432
P12-SupG-21	0.7638660972863157
P12-SupG-28	0.6679033784251571
P12-SupG-35	0.8173211886981305
P12-SupG-7	0.7514579979153617
P12-SupG-B	0.6735590477671014
P12-T-0	0.5639484042508462
P12-T-14	0.7715566866423131
P12-T-21	0.6552531241195803
P12-T-28	0.5957887118326217
P12-T-35	0.4161086494585505
P12-T-7	0.5775547540993616
P12-T-B	0.6986253109957572
P13-Sal-0	0.5668555226695785
P13-Sal-14	0.6938257930614006
P13-Sal-21	0.6071589846174812
P13-Sal-28	0.5652436494137415
P13-Sal-35	0.573432536225378
P13-Sal-7	0.7231197562586531
P13-Sal-B	0.666528263640635
P13-SubG-0	0.835857901533109
P13-SubG-14	0.7504127438286404
P13-SubG-21	0.7817000762049082
P13-SubG-28	0.7731214188558141
P13-SubG-35	0.7695943014941511
P13-SubG-7	0.7320024461319504
P13-SubG-B	0.8407204955153584
P13-SupG-0	0.7372874772805514
P13-SupG-14	0.7576163824554754
P13-SupG-21	0.7743826590425441
P13-SupG-28	0.5151705434897476
P13-SupG-35	0.768476734272721
P13-SupG-7	0.7722726767592069
P13-SupG-B	0.8084217689140543
P13-T-0	0.6549625528171141
P13-T-14	0.679730434136237
P13-T-21	0.6625211741168742
P13-T-28	0.5820201734816007
P13-T-35	0.6170199073711083
P13-T-7	0.7797574836760488
P13-T-B	0.726121894013642
P14-Sal-0	0.6202333186470763
P14-Sal-14	0.6421994417459805
P14-Sal-21	0.6461268427166793
P14-Sal-28	0.6601352491361262
P14-Sal-35	0.6605950214609868
P14-Sal-7	0.6338674163921391
P14-Sal-B	0.6138203090587769
P14-SubG-0	0.653999613935112
P14-SubG-14	0.8351873185794052
P14-SubG-21	0.8199741024706708
P14-SubG-28	0.6654727642329129
P14-SubG-35	0.6340363398223248
P14-SubG-7	0.7213154593245598
P14-SubG-B	0.7325806324035913
P14-SupG-0	0.7849252286509206
P14-SupG-14	0.8222363386611999
P14-SupG-21	0.8451105254180603
P14-SupG-28	0.745278867645723
P14-SupG-35	0.7672032594734239
P14-SupG-7	0.6549699404499724
P14-SupG-B	0.7141532073486406
P14-T-0	0.6296539994061093
P14-T-14	0.8445441586620013
P14-T-21	0.6816556827028587
P14-T-28	0.7285463603187282
P14-T-35	0.7049061761845363
P14-T-7	0.6413245275266896
P14-T-B	0.6289529602416389
P15-Sal-0	0.7707742247269042
P15-Sal-14	0.7634783668231416
P15-Sal-21	0.7755222093918352
P15-Sal-28	0.7285150263218801
P15-Sal-35	0.7616469113547996
P15-Sal-7	0.7722521075137074
P15-Sal-B	0.7378624101658193
P15-SubG-0	0.6131056195204428
P15-SubG-14	0.8844721192057272
P15-SubG-21	0.8427705578987652
P15-SubG-28	0.8746916138394041
P15-SubG-35	0.8824066900271678
P15-SubG-7	0.7691485654680231
P15-SubG-B	0.7972278660511263
P15-SupG-0	0.8201740911489933
P15-SupG-14	0.8540119177357308
P15-SupG-21	0.826766847489607
P15-SupG-28	0.7417772482989355
P15-SupG-35	0.777963659116443
P15-SupG-7	0.7710454572994331
P15-SupG-B	0.7861950580488555
P15-T-0	0.6509822500916204
P15-T-14	0.7552259599783472
P15-T-21	0.7115071218263971
P15-T-28	0.7390027356418937
P15-T-35	0.7627341968293261
P15-T-7	0.7940228106659097
P15-T-B	0.7934781776967633
P16-Sal-0	0.732261827232508
P16-Sal-14	0.7294260237512986
P16-Sal-21	0.7438780774597982
P16-Sal-28	0.7458418190674678
P16-Sal-35	0.7580671025795532
P16-Sal-7	0.735173785937508
P16-Sal-B	0.6541557706313165
P16-SubG-0	0.8613988403937816
P16-SubG-14	0.8478864121859271
P16-SubG-21	0.8694460560466264
P16-SubG-28	0.8186382092788338
P16-SubG-35	0.8277180928010103
P16-SubG-7	0.7481957288254935
P16-SubG-B	0.6479511897404745
P16-SupG-0	0.7487380197025586
P16-SupG-14	0.8317575211356435
P16-SupG-21	0.8455749128884519
P16-SupG-28	0.7865761002678049
P16-SupG-35	0.6442424401638566
P16-SupG-7	0.7700420951250599
P16-SupG-B	0.4779840270004544
P16-T-0	0.7351818914937349
P16-T-14	0.7164540577138248
P16-T-21	0.7326894096604906
P16-T-28	0.7062687702864584
P16-T-35	0.797995325336679
P16-T-7	0.6826654887716795
