	observed_features
P11-Sal-0	115
P11-Sal-14	150
P11-Sal-21	152
P11-Sal-28	111
P11-Sal-35	103
P11-Sal-7	112
P11-Sal-B	105
P11-SubG-0	120
P11-SubG-14	125
P11-SubG-21	167
P11-SubG-28	166
P11-SubG-35	128
P11-SubG-7	69
P11-SubG-B	57
P11-SupG-0	93
P11-SupG-14	98
P11-SupG-21	123
P11-SupG-28	101
P11-SupG-35	107
P11-SupG-7	65
P11-SupG-B	68
P11-T-0	105
P11-T-14	111
P11-T-21	126
P11-T-28	119
P11-T-35	96
P11-T-7	77
P11-T-B	84
P12-Sal-0	192
P12-Sal-14	247
P12-Sal-21	198
P12-Sal-28	50
P12-Sal-35	169
P12-Sal-7	201
P12-Sal-B	158
P12-SubG-0	236
P12-SubG-14	303
P12-SubG-21	222
P12-SubG-28	208
P12-SubG-35	220
P12-SubG-7	235
P12-SubG-B	246
P12-SupG-0	251
P12-SupG-14	152
P12-SupG-21	192
P12-SupG-28	161
P12-SupG-35	204
P12-SupG-7	132
P12-SupG-B	154
P12-T-0	94
P12-T-14	102
P12-T-21	112
P12-T-28	95
P12-T-35	66
P12-T-7	135
P12-T-B	162
P13-Sal-0	138
P13-Sal-14	136
P13-Sal-21	109
P13-Sal-28	100
P13-Sal-35	93
P13-Sal-7	144
P13-Sal-B	120
P13-SubG-0	121
P13-SubG-14	116
P13-SubG-21	152
P13-SubG-28	150
P13-SubG-35	96
P13-SubG-7	81
P13-SubG-B	144
P13-SupG-0	109
P13-SupG-14	105
P13-SupG-21	100
P13-SupG-28	89
P13-SupG-35	70
P13-SupG-7	82
P13-SupG-B	87
P13-T-0	82
P13-T-14	98
P13-T-21	100
P13-T-28	73
P13-T-35	82
P13-T-7	105
P13-T-B	107
P14-Sal-0	71
P14-Sal-14	231
P14-Sal-21	102
P14-Sal-28	76
P14-Sal-35	73
P14-Sal-7	97
P14-Sal-B	69
P14-SubG-0	131
P14-SubG-14	112
P14-SubG-21	142
P14-SubG-28	68
P14-SubG-35	77
P14-SubG-7	115
P14-SubG-B	276
P14-SupG-0	71
P14-SupG-14	133
P14-SupG-21	126
P14-SupG-28	84
P14-SupG-35	135
P14-SupG-7	91
P14-SupG-B	83
P14-T-0	58
P14-T-14	391
P14-T-21	72
P14-T-28	60
P14-T-35	65
P14-T-7	64
P14-T-B	57
P15-Sal-0	141
P15-Sal-14	194
P15-Sal-21	183
P15-Sal-28	128
P15-Sal-35	122
P15-Sal-7	181
P15-Sal-B	130
P15-SubG-0	145
P15-SubG-14	232
P15-SubG-21	246
P15-SubG-28	204
P15-SubG-35	223
P15-SubG-7	106
P15-SubG-B	149
P15-SupG-0	133
P15-SupG-14	157
P15-SupG-21	176
P15-SupG-28	85
P15-SupG-35	127
P15-SupG-7	130
P15-SupG-B	155
P15-T-0	91
P15-T-14	122
P15-T-21	104
P15-T-28	86
P15-T-35	105
P15-T-7	121
P15-T-B	101
P16-Sal-0	166
P16-Sal-14	161
P16-Sal-21	170
P16-Sal-28	155
P16-Sal-35	138
P16-Sal-7	173
P16-Sal-B	113
P16-SubG-0	503
P16-SubG-14	208
P16-SubG-21	165
P16-SubG-28	172
P16-SubG-35	159
P16-SubG-7	149
P16-SubG-B	218
P16-SupG-0	169
P16-SupG-14	187
P16-SupG-21	212
P16-SupG-28	178
P16-SupG-35	134
P16-SupG-7	185
P16-SupG-B	62
P16-T-0	100
P16-T-14	91
P16-T-21	128
P16-T-28	117
P16-T-35	528
P16-T-7	81
P16-T-B	123
P17-Sal-0	119
P17-Sal-14	142
P17-Sal-21	150
P17-Sal-28	128
P17-Sal-35	113
P17-Sal-7	139
P17-Sal-B	97
P17-SubG-0	120
P17-SubG-14	162
P17-SubG-21	154
P17-SubG-28	234
P17-SubG-35	151
P17-SubG-7	141
P17-SubG-B	107
P17-SupG-0	162
P17-SupG-14	113
P17-SupG-21	157
P17-SupG-28	77
P17-SupG-35	139
P17-SupG-7	79
P17-SupG-B	391
P17-T-0	130
P17-T-14	101
P17-T-21	112
P17-T-28	100
P17-T-35	108
P17-T-7	105
P17-T-B	261
P18-Sal-0	149
P18-Sal-14	157
P18-Sal-21	173
P18-Sal-28	165
P18-Sal-35	167
P18-Sal-7	165
P18-Sal-B	150
P18-SubG-0	217
P18-SubG-14	226
P18-SubG-21	224
P18-SubG-28	119
P18-SubG-35	186
P18-SubG-7	190
P18-SubG-B	243
P18-SupG-0	219
P18-SupG-14	190
P18-SupG-21	198
P18-SupG-28	169
P18-SupG-35	167
P18-SupG-7	215
P18-SupG-B	184
P18-T-0	97
P18-T-14	88
P18-T-21	93
P18-T-28	92
P18-T-35	82
P18-T-7	144
P18-T-B	101
P19-Sal-0	165
P19-Sal-14	184
P19-Sal-21	200
P19-Sal-28	135
P19-Sal-35	131
P19-Sal-7	185
P19-Sal-B	157
P19-SubG-0	178
P19-SubG-14	192
P19-SubG-21	148
P19-SubG-28	186
P19-SubG-35	216
P19-SubG-7	180
P19-SubG-B	187
P19-SupG-0	205
P19-SupG-14	153
P19-SupG-21	174
P19-SupG-28	147
P19-SupG-35	171
P19-SupG-7	92
P19-SupG-B	152
P19-T-0	150
P19-T-14	147
P19-T-21	133
P19-T-28	113
P19-T-35	123
P19-T-7	133
P19-T-B	126
P20-Sal-0	147
P20-Sal-14	172
P20-Sal-21	179
P20-Sal-28	168
P20-Sal-35	155
P20-Sal-7	200
P20-Sal-B	162
P20-SubG-0	229
P20-SubG-14	214
P20-SubG-21	253
P20-SubG-28	254
P20-SubG-35	231
P20-SubG-7	260
P20-SubG-B	241
P20-SupG-0	211
P20-SupG-14	187
P20-SupG-21	223
P20-SupG-28	187
P20-SupG-35	201
P20-SupG-7	236
P20-SupG-B	225
P20-T-0	105
P20-T-14	95
P20-T-21	204
P20-T-28	173
P20-T-35	96
P20-T-7	116
P20-T-B	108
P21-Sal-0	103
P21-Sal-14	160
P21-Sal-21	161
P21-Sal-28	99
P21-Sal-35	71
P21-Sal-7	136
P21-Sal-B	163
P21-SubG-0	116
P21-SubG-14	218
P21-SubG-21	186
P21-SubG-28	104
P21-SubG-35	122
P21-SubG-7	150
P21-SubG-B	222
P21-SupG-0	101
P21-SupG-14	176
P21-SupG-21	179
P21-SupG-28	80
P21-SupG-35	142
P21-SupG-7	90
P21-SupG-B	111
P21-T-0	140
P21-T-14	95
P21-T-21	98
P21-T-28	83
P21-T-35	54
P21-T-7	99
P21-T-B	72
P22-Sal-0	184
P22-Sal-14	202
P22-Sal-21	215
P22-Sal-28	155
P22-Sal-35	133
P22-Sal-7	159
P22-Sal-B	138
P22-SubG-0	173
P22-SubG-14	293
P22-SubG-21	290
P22-SubG-28	273
P22-SubG-35	252
P22-SubG-7	227
P22-SubG-B	297
P22-SupG-0	123
P22-SupG-14	227
P22-SupG-21	289
P22-SupG-28	204
P22-SupG-35	281
P22-SupG-7	198
P22-SupG-B	197
P22-T-0	128
P22-T-14	139
P22-T-21	138
P22-T-28	107
P22-T-35	123
P22-T-7	136
P22-T-B	97
P23-Sal-0	115
P23-Sal-14	173
P23-Sal-21	148
P23-Sal-28	94
P23-Sal-35	124
P23-Sal-7	135
P23-Sal-B	148
P23-SubG-0	135
P23-SubG-14	177
P23-SubG-21	193
P23-SubG-28	193
P23-SubG-35	96
P23-SubG-7	185
P23-SubG-B	198
P23-SupG-0	109
P23-SupG-14	142
P23-SupG-21	159
P23-SupG-28	191
P23-SupG-35	135
P23-SupG-7	143
P23-SupG-B	191
P23-T-0	100
P23-T-14	116
P23-T-21	114
P23-T-28	149
P23-T-35	94
P23-T-7	91
P23-T-B	114
P24-Sal-0	163
P24-Sal-14	236
P24-Sal-21	222
P24-Sal-28	200
P24-Sal-35	180
P24-Sal-7	196
P24-Sal-B	136
P24-SubG-0	124
P24-SubG-14	263
P24-SubG-21	246
P24-SubG-28	150
P24-SubG-35	133
P24-SubG-7	161
P24-SubG-B	60
P24-SupG-0	163
P24-SupG-14	239
P24-SupG-21	202
P24-SupG-28	186
P24-SupG-35	150
P24-SupG-7	108
P24-SupG-B	53
P24-T-0	195
P24-T-14	142
P24-T-21	94
P24-T-28	109
P24-T-35	109
P24-T-7	153
P24-T-B	90
P25-Sal-0	278
P25-Sal-14	246
P25-Sal-21	271
P25-Sal-28	215
P25-Sal-35	303
P25-Sal-7	243
P25-Sal-B	273
P25-SubG-0	253
P25-SubG-14	281
P25-SubG-21	268
P25-SubG-28	285
P25-SubG-35	228
P25-SubG-7	304
P25-SubG-B	203
P25-SupG-0	276
P25-SupG-14	239
P25-SupG-21	249
P25-SupG-28	226
P25-SupG-35	298
P25-SupG-7	230
P25-SupG-B	202
P25-T-0	178
P25-T-14	124
P25-T-21	117
P25-T-28	115
P25-T-35	144
P25-T-7	128
P25-T-B	135
