	faith_pd
P11-Sal-0	22.33657750086877
P11-Sal-14	25.76807462273632
P11-Sal-21	19.27311386650274
P11-Sal-28	15.874164554506365
P11-Sal-35	16.23379316662374
P11-Sal-7	16.491764960938553
P11-Sal-B	15.518105814366095
P11-SubG-0	15.133256802388246
P11-SubG-14	16.405681528230843
P11-SubG-21	19.518503156830207
P11-SubG-28	29.40477854461767
P11-SubG-35	17.826147336796225
P11-SubG-7	26.06849330324735
P11-SubG-B	21.970610706943944
P11-SupG-0	15.755465382591638
P11-SupG-14	13.329357421158193
P11-SupG-21	17.095155228682643
P11-SupG-28	16.718607766626974
P11-SupG-35	14.932190249873543
P11-SupG-7	9.876914820013894
P11-SupG-B	10.42057641777535
P11-T-0	15.360009793738413
P11-T-14	18.109562237879572
P11-T-21	16.69383053271156
P11-T-28	15.786749057221982
P11-T-35	15.678362936392205
P11-T-7	27.21706992558711
P11-T-B	12.429504737901766
P12-Sal-0	39.05384408620216
P12-Sal-14	44.99230510943664
P12-Sal-21	22.06634299330426
P12-Sal-28	10.22989125282345
P12-Sal-35	43.269004174740644
P12-Sal-7	22.81380717361378
P12-Sal-B	18.560038290170382
P12-SubG-0	34.3667377576769
P12-SubG-14	27.228579756150907
P12-SubG-21	42.228507220874576
P12-SubG-28	23.753079616989112
P12-SubG-35	33.970888337828455
P12-SubG-7	27.33437680925249
P12-SubG-B	32.29252284808865
P12-SupG-0	40.48702644130924
P12-SupG-14	17.258486181420608
P12-SupG-21	17.86994479043892
P12-SupG-28	19.77762352357672
P12-SupG-35	26.323359540934234
P12-SupG-7	16.42809937877462
P12-SupG-B	18.07074988964132
P12-T-0	14.82890205939907
P12-T-14	16.292918878343357
P12-T-21	17.08159427384885
P12-T-28	12.144568528160562
P12-T-35	16.0903505448523
P12-T-7	29.44019456423223
P12-T-B	20.9764712332709
P13-Sal-0	20.597558825087958
P13-Sal-14	18.23941595078327
P13-Sal-21	14.812692648671941
P13-Sal-28	20.02842082342363
P13-Sal-35	21.35513659036951
P13-Sal-7	16.629047668073554
P13-Sal-B	22.219386600222265
P13-SubG-0	22.009967133417376
P13-SubG-14	29.418127496959983
P13-SubG-21	30.5311963419756
P13-SubG-28	18.02866324496199
P13-SubG-35	22.460981642358092
P13-SubG-7	11.681179031544843
P13-SubG-B	22.515431365313702
P13-SupG-0	14.986137088660485
P13-SupG-14	13.650277865908265
P13-SupG-21	15.222944203588895
P13-SupG-28	17.651383475495095
P13-SupG-35	10.715987728231426
P13-SupG-7	12.670931692939575
P13-SupG-B	18.39168819179031
P13-T-0	14.131926978912247
P13-T-14	12.911425807370847
P13-T-21	13.617842145162967
P13-T-28	11.67494225436019
P13-T-35	14.470831878412469
P13-T-7	15.196268085667953
P13-T-B	16.311550445889566
P14-Sal-0	12.511752495332416
P14-Sal-14	38.93957663420531
P14-Sal-21	15.444720336020282
P14-Sal-28	12.58899612517996
P14-Sal-35	11.917948086871888
P14-Sal-7	13.08463687552603
P14-Sal-B	10.606825579863653
P14-SubG-0	34.02928985473511
P14-SubG-14	13.014713832386633
P14-SubG-21	21.501816704265707
P14-SubG-28	11.997597030639554
P14-SubG-35	16.439946746512305
P14-SubG-7	34.73176255240628
P14-SubG-B	51.59094770290221
P14-SupG-0	11.200885825196451
P14-SupG-14	26.414698392507376
P14-SupG-21	17.78201508678376
P14-SupG-28	14.292604800352933
P14-SupG-35	28.227769160361163
P14-SupG-7	11.668706269383051
P14-SupG-B	12.137009852852202
P14-T-0	12.649612365464009
P14-T-14	64.98790556821291
P14-T-21	15.114812413448021
P14-T-28	11.466109983992851
P14-T-35	11.140244195712171
P14-T-7	24.2488705314031
P14-T-B	19.292794610713486
P15-Sal-0	18.781038252621897
P15-Sal-14	29.300717091192837
P15-Sal-21	20.61379193870141
P15-Sal-28	18.231859280106278
P15-Sal-35	16.984486802132892
P15-Sal-7	19.31017176487012
P15-Sal-B	16.782378525054355
P15-SubG-0	30.48933432568549
P15-SubG-14	27.342238506446165
P15-SubG-21	30.495503027694895
P15-SubG-28	22.93173080881786
P15-SubG-35	23.89441510195229
P15-SubG-7	15.718182236507118
P15-SubG-B	17.623378300418153
P15-SupG-0	17.896451816346712
P15-SupG-14	18.98887116087144
P15-SupG-21	19.11554589098307
P15-SupG-28	10.254751102271598
P15-SupG-35	14.763831224964065
P15-SupG-7	17.223161248013184
P15-SupG-B	17.756863904021998
P15-T-0	14.541600049210956
