origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
query.homd,e9036e6df607f0873e7d14e3556c798e,1,574,0.210321,0.340811,-47399,-47401.2,5.84696e-06,6.11352e-06,NA,NA,NA,NA
query.homd,94d1dbe74ad3e3adac152b88af1ac302,1,847,1,1,-48859.7,-48862.3,0.00960233,0.0119543,NA,NA,NA,NA
query.homd,fbb1ae43656b5280c270643d716b31a7,1,1569,0.0770106,0.0950852,-47280.3,-47282.4,5.77392e-06,6.11352e-06,NA,NA,NA,NA
query.homd,1e6d25db0409017169c6b81dda0b1f38,1,604,0.111502,0.133962,-47238.6,-47240.6,6.4291e-06,6.11352e-06,NA,NA,NA,NA
query.homd,af15d021e7a019bfca1083d5f89d39fc,1,1157,0.333483,0.463179,-48805.2,-48807.3,5e-07,6.11352e-06,NA,NA,NA,NA
query.homd,4cfd0200a2b65d01301ea8fd5078e275,1,824,0.975756,0.975766,-48585.5,-48588.8,0.0948462,0.150312,NA,NA,NA,NA
query.homd,1b58ac72741add2b614e698a32981993,1,1769,0.227668,0.24633,-48859.5,-48862.3,5.09826e-06,6.11352e-06,NA,NA,NA,NA
query.homd,0283abaec1c68324a4becee8a201a07c,1,1840,0.333413,0.4187,-48843.9,-48846,6.12444e-06,6.11352e-06,NA,NA,NA,NA
query.homd,5b0fd4751414404948cd982e2f4b3c13,1,1737,0.0501435,0.059665,-48859.5,-48861.6,5.17724e-06,6.11352e-06,NA,NA,NA,NA
query.homd,204d401bcaf4b5cf7eb6f5e23dc91d1d,1,1271,0.0500028,0.0500944,-48334.7,-48336.8,9.4678e-06,6.11352e-06,NA,NA,NA,NA
query.homd,a5f64d25bfb9184658a6597d76096fb1,1,31,0.666959,0.722411,-48230.8,-48233.2,0.00185396,6.11352e-06,NA,NA,NA,NA
query.homd,bff540f2d9cf8c25ed1bc1a5061f023c,1,1024,0.973454,0.943646,-48626.9,-48629.7,6.7608e-06,6.11352e-06,NA,NA,NA,NA
query.homd,f224fb6c2c2fb01898aacebdfaefab14,1,1557,0.235258,0.31205,-47280.3,-47282.4,6.46227e-06,6.11352e-06,NA,NA,NA,NA
query.homd,394b7bd8355b485e02d10118bb1d82ca,1,1060,0.0500003,0.0500121,-48626.9,-48629,5e-07,6.11352e-06,NA,NA,NA,NA
query.homd,7ee5ba33b78446d76ae3c85c71b2ab7b,1,30,0.351293,0.546168,-48229.4,-48231.6,5.02304e-06,6.11352e-06,NA,NA,NA,NA
query.homd,e4d9332ac60f495af8c7147d1f9d959d,1,1159,0.302159,0.391556,-48805.2,-48807.3,5e-07,6.11352e-06,NA,NA,NA,NA
query.homd,9ecec48daa235631d504bef5f4155d5c,1,521,1,1,-47478,-47483.4,8.37711e-06,6.11352e-06,NA,NA,NA,NA
