"phylum"	"0_Sal"	"0_SubG"	"0_SupG"	"0_T"	"21_Sal"	"21_SubG"	"21_SupG"	"21_T"
"d__Archaea; p__Crenarchaeota"	0	0.000168424785920639	2.51952632905014e-05	2.70626357582879e-05	0	0	0	0
"d__Archaea; p__Nanoarchaeota"	0	0	0	0	0	0	0	0
"d__Archaea; p__Thermoplasmatota"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Abditibacteriota"	0	0	0	0	0	0	0	1.0712085910929e-05
"d__Bacteria; p__Acidobacteriota"	0	0.000338641722389207	0.000133690567379484	1.642959971942e-05	0	2.49512670565302e-05	9.22296518330643e-06	5.16320680288666e-05
"d__Bacteria; p__Actinobacteriota"	0.0237034777755303	0.0909296439702189	0.102998482100559	0.0476215993515675	0.0235252018733951	0.0283875478697241	0.0523677513833139	0.0471559589695411
"d__Bacteria; p__Armatimonadota"	0	3.83626807841332e-05	0	0	0	9.35672514619883e-06	0	0
"d__Bacteria; p__Bacteroidota"	0.295715976686497	0.216335103779092	0.187846270738931	0.275206569887304	0.317863177358382	0.401227501525946	0.327755214122023	0.315846873234037
"d__Bacteria; p__Bdellovibrionota"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Calditrichota"	0	1.53450723136533e-05	0	0	0	9.35672514619883e-06	0	0
"d__Bacteria; p__Campilobacterota"	0.00121368553506894	0.00175487642807421	0.00152775325022311	0.00188018361873559	0.00127829587809477	0.00264328157023142	0.0020470066262132	0.0020566205053392
"d__Bacteria; p__Chloroflexi"	1.70175192227164e-05	0.000304227575094737	7.3983495404127e-05	0	1.27392592120768e-05	1.33136291621733e-05	0	0
"d__Bacteria; p__Cloacimonadota"	0	5.61880963772964e-05	0	2.24348188388379e-05	0	0	0	0
"d__Bacteria; p__Cyanobacteria"	2.24903787260144e-05	0.00222883654708241	0.000252685094551751	0.000175623227142774	1.56068631180562e-05	0.000127417571533114	2.2028736486747e-06	0.000379242845896813
"d__Bacteria; p__Dadabacteria"	0	4.27830365260174e-06	0	0	0	0	0	0
"d__Bacteria; p__Deferribacterota"	0	8.55660730520349e-06	0	0	0	0	0	0
"d__Bacteria; p__Deinococcota"	0	0	0	0	0	0	0	1.0712085910929e-05
"d__Bacteria; p__Dependentiae"	0	8.55660730520349e-06	0	0	0	0	0	0
"d__Bacteria; p__Desulfobacterota"	0.000193873089399562	0.0045725885516223	0.000746937622621856	0.000111553837052398	2.72555115960324e-05	0.000232250430596263	5.09836655032096e-05	6.89574437436655e-05
"d__Bacteria; p__Elusimicrobiota"	0	5.05175250534749e-05	0	0	0	0	0	0
"d__Bacteria; p__Fibrobacterota"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Firmicutes"	0.40357541404424	0.346313484625055	0.33474236883267	0.422576328228897	0.403441311460715	0.244767893030814	0.278677378439856	0.387789094303755
"d__Bacteria; p__Fusobacteriota"	0.0972434155468296	0.105512588447639	0.0996264683872791	0.114103139349742	0.0959416677858841	0.214710130992377	0.188575051561652	0.147335349950119
"d__Bacteria; p__Gemmatimonadota"	0	1.92523664367078e-05	5.6627947307695e-06	0	0	0	0	0
"d__Bacteria; p__Hydrogenedentes"	0	0	6.18945935072571e-06	0	0	0	0	0
"d__Bacteria; p__Latescibacterota"	0	0.000142897016094311	4.25177066901862e-05	0	0	0	0	0
"d__Bacteria; p__Marinimicrobia_(SAR406_clade)"	0	8.4397897725093e-05	0	1.16113675288107e-05	0	0	0	0
"d__Bacteria; p__MBNT15"	0	4.60352169409598e-05	0	0	0	0	0	0
"d__Bacteria; p__Myxococcota"	0	6.42302010405293e-06	2.23979923110992e-05	0	0	0	0	0
"d__Bacteria; p__NB1-j"	0	1.28349109578052e-05	0	0	0	4.77230156173569e-06	0	1.57903047528817e-05
"d__Bacteria; p__Nitrospinota"	0	1.06957591315044e-05	0	0	0	0	0	0
"d__Bacteria; p__Nitrospirota"	0	0	8.3984210968338e-06	0	0	0	0	1.89483657034581e-05
"d__Bacteria; p__Patescibacteria"	0.000311136630851853	0.000211690389022061	0.00030182105923774	0.000206010711829665	0.000654538961862845	0.000675273413238057	0.000743296072847198	0.000238232616839753
"d__Bacteria; p__PAUC34f"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Planctomycetota"	0	0.000219075706932735	2.22259265433128e-05	6.90296955687908e-05	0	5.34621553188987e-05	4.94798431488972e-06	5.31395915671764e-05
"d__Bacteria; p__Proteobacteria"	0.170371259682685	0.212933799576281	0.260745365311775	0.136759649405534	0.150346907027892	0.0841508819717056	0.141179265653114	0.0972378317978588
"d__Bacteria; p__SAR324_clade(Marine_group_B)"	0	0	0	3.19312607042294e-05	0	0	0	0
"d__Bacteria; p__Schekmanbacteria"	0	0	0	0	0	0	0	0
"d__Bacteria; p__Spirochaetota"	0.00601939915130247	0.012001686161477	0.0089768447390525	0.00103224324006851	0.00571521755299755	0.0202082186592699	0.00698483120973684	0.00165370431023866
"d__Bacteria; p__Sumerlaeota"	0	3.06901446273066e-05	0	0	0	0	0	0
"d__Bacteria; p__Synergistota"	0.00105501406695259	0.00401968128767014	0.00172100371745139	3.69934504983754e-05	0.000768444759860638	0.00244064378812628	0.0015230003089909	0
"d__Bacteria; p__Verrucomicrobiota"	0	0.000306259954445066	3.51943928017057e-05	1.44600660296831e-05	0	6.23781676413255e-06	0	2.30461210497508e-05
"d__Bacteria; p__WPS-2"	0	0	0	0	0	0	0	0
"d__Bacteria; p__WS1"	0	3.06901446273066e-05	0	0	0	0	0	0
"d__Bacteria; p__WS2"	0	2.30176084704799e-05	0	0	0	0	0	0
"d__Bacteria; p__Zixibacteria"	0	0	0	0	0	0	0	0
"d__Eukaryota; p__Ascomycota"	1.70280305274169e-05	0	6.92856647959537e-06	9.50272733804722e-06	0	1.48700547883407e-05	5.54923559279709e-06	0
