Subject	Time	Site	Organism	Recip_Ct
P11	-7	Tongue	Pe	0
P12	-7	Tongue	Pe	0.029797377830751
P13	-7	Tongue	Pe	0.042453831458289
P14	-7	Tongue	Pe	0.028304557033683
P15	-7	Tongue	Pe	0.0581226387678
P16	-7	Tongue	Pe	0.028328611898017
P17	-7	Tongue	Pe	0.04231013327692
P18	-7	Tongue	Pe	0.033140016570008
P19	-7	Tongue	Pe	0.051988562516247
P20	-7	Tongue	Pe	0.030576364470265
P21	-7	Tongue	Pe	0.052645433008687
P22	-7	Tongue	Pe	0.029717682020802
P23	-7	Tongue	Pe	0.051203277009729
P24	-7	Tongue	Pe	0.028698522026116
P25	-7	Tongue	Pe	0.057770075101098
P11	-7	Saliva	Pe	0.035273368606702
P12	-7	Saliva	Pe	0.055741360089186
P13	-7	Saliva	Pe	0.036948087936449
P14	-7	Saliva	Pe	0.057093919497574
P15	-7	Saliva	Pe	0.044742729306488
P16	-7	Saliva	Pe	0.056753688989784
P17	-7	Saliva	Pe	0.026024723487313
P18	-7	Saliva	Pe	0.054764512595838
P19	-7	Saliva	Pe	0.045126353790614
P20	-7	Saliva	Pe	0.049176297024834
P21	-7	Saliva	Pe	0.04222972972973
P22	-7	Saliva	Pe	0.061462814996927
P23	-7	Saliva	Pe	0.040241448692153
P24	-7	Saliva	Pe	0.053008216273522
P25	-7	Saliva	Pe	0.036081544290096
P11	21	Tongue	Pe	0.025
P12	21	Tongue	Pe	0.036264732547598
P13	21	Tongue	Pe	0.025
P14	21	Tongue	Pe	0.033500837520938
P15	21	Tongue	Pe	0.030261764260856
P16	21	Tongue	Pe	0.025
P17	21	Tongue	Pe	0.03210788248515
P18	21	Tongue	Pe	0.037216226274656
P19	21	Tongue	Pe	0.03305785123967
P20	21	Tongue	Pe	0.035861574323113
P21	21	Tongue	Pe	0.029235491887151
P22	21	Tongue	Pe	0.038117019249095
P23	21	Tongue	Pe	0.036088054853843
P24	21	Tongue	Pe	0.030344409042634
P25	21	Tongue	Pe	0.037750094375236
P11	21	Saliva	Pe	0.025
P12	21	Saliva	Pe	0.041823504809703
P13	21	Saliva	Pe	0.035391966023713
P14	21	Saliva	Pe	0.046620046620047
P15	21	Saliva	Pe	0.039706174310105
P16	21	Saliva	Pe	0.025
P17	21	Saliva	Pe	0.041450777202073
P18	21	Saliva	Pe	0.043956043956044
P19	21	Saliva	Pe	0.033783783783784
P20	21	Saliva	Pe	0.041228612657184
P21	21	Saliva	Pe	0.035919540229885
P22	21	Saliva	Pe	0.042096400757735
P23	21	Saliva	Pe	0.043620501635769
P24	21	Saliva	Pe	0.037341299477222
P25	21	Saliva	Pe	0.043215211754538
P11	35	Tongue	Pe	0.025
P12	35	Tongue	Pe	0.034632034632035
P13	35	Tongue	Pe	0.034176349965824
P14	35	Tongue	Pe	0.036436509382401
P15	35	Tongue	Pe	0.035874439461883
P16	35	Tongue	Pe	0.027685492801772
P17	35	Tongue	Pe	0.036192544335867
P18	35	Tongue	Pe	0.030868961259454
