	shannon_entropy
P11-Sal-0	4.952165029748204
P11-Sal-14	5.417437419996262
P11-Sal-21	4.9568436221713075
P11-Sal-28	4.775781908044569
P11-Sal-35	4.681775436224851
P11-Sal-7	4.812317124742223
P11-Sal-B	4.919185371192273
P11-SubG-0	4.624492170446002
P11-SubG-14	5.405784428397743
P11-SubG-21	6.208010882631544
P11-SubG-28	6.080495501175701
P11-SubG-35	5.589543064821852
P11-SubG-7	4.1895580863744
P11-SubG-B	3.792166765558004
P11-SupG-0	4.229447331203051
P11-SupG-14	4.69651833423363
P11-SupG-21	4.947992211795018
P11-SupG-28	4.8109892497685065
P11-SupG-35	4.806789874558782
P11-SupG-7	3.9843313371535802
P11-SupG-B	4.153974439417559
P11-T-0	5.334075748481197
P11-T-14	4.8876014704225925
P11-T-21	5.637081802145279
P11-T-28	5.255893128838166
P11-T-35	4.778841984580578
P11-T-7	4.057050953961003
P11-T-B	4.560329639592193
P12-Sal-0	5.05698643676534
P12-Sal-14	6.468235340809876
P12-Sal-21	5.669480194676134
P12-Sal-28	4.577974241451195
P12-Sal-35	5.040679881935137
P12-Sal-7	5.295269666957792
P12-Sal-B	4.5627932455425135
P12-SubG-0	6.299937951477011
P12-SubG-14	6.89053072420279
P12-SubG-21	6.286411148546508
P12-SubG-28	6.040324928234162
P12-SubG-35	5.874425352892091
P12-SubG-7	6.470460574214216
P12-SubG-B	6.07495069324588
P12-SupG-0	6.737369018526145
P12-SupG-14	5.767438488084443
P12-SupG-21	5.793895703488923
P12-SupG-28	4.896344149846759
P12-SupG-35	6.270835800697803
P12-SupG-7	5.293566301459851
P12-SupG-B	4.894609822677247
P12-T-0	3.69644992342399
P12-T-14	5.14815438871973
P12-T-21	4.460540579669047
P12-T-28	3.914245809813821
P12-T-35	2.5151246738014503
P12-T-7	4.08724849196122
P12-T-B	5.12780499092748
P13-Sal-0	4.029506346356471
P13-Sal-14	4.917464526623725
P13-Sal-21	4.109363922335511
P13-Sal-28	3.755397518888341
P13-Sal-35	3.7497664218342064
P13-Sal-7	5.184714419435788
P13-Sal-B	4.603637795846777
P13-SubG-0	5.783186506502917
P13-SubG-14	5.1463163356783515
P13-SubG-21	5.665705489586502
P13-SubG-28	5.588754562647604
P13-SubG-35	5.067749616107676
P13-SubG-7	4.640785710221199
P13-SubG-B	6.027902900020538
P13-SupG-0	4.990097546584552
P13-SupG-14	5.086822400012098
P13-SupG-21	5.144887022534018
P13-SupG-28	3.3361071111256866
P13-SupG-35	4.7102113962951195
P13-SupG-7	4.909763704242269
P13-SupG-B	5.20861577792733
P13-T-0	4.163958490612222
P13-T-14	4.496219594025672
P13-T-21	4.401695403513213
P13-T-28	3.60260276358002
P13-T-35	3.9227361489964543
P13-T-7	5.235483189638526
P13-T-B	4.89512677659604
P14-Sal-0	3.8142780647706878
P14-Sal-14	5.04238885112693
P14-Sal-21	4.311233119470802
P14-Sal-28	4.124477185671539
P14-Sal-35	4.088967287313088
P14-Sal-7	4.183469701690454
P14-Sal-B	3.749536369952674
P14-SubG-0	4.599855927647829
P14-SubG-14	5.685416503971606
P14-SubG-21	5.862607477208116
P14-SubG-28	4.051040724132005
P14-SubG-35	3.9733704007100035
P14-SubG-7	4.937757800398646
P14-SubG-B	5.940147974406537
P14-SupG-0	4.827091663922553
P14-SupG-14	5.801109597987172
P14-SupG-21	5.896572702137898
P14-SupG-28	4.764059090480581
P14-SupG-35	5.4293559927497625
P14-SupG-7	4.26240986795159
P14-SupG-B	4.552754856870461
P14-T-0	3.6885011620270562
P14-T-14	7.272390692659568
P14-T-21	4.2057644390835955
P14-T-28	4.3034436442315105
P14-T-35	4.245204266658717
P14-T-7	3.847947165160137
P14-T-B	3.6686134411728095
P15-Sal-0	5.502982158543101
P15-Sal-14	5.8023690447512495
P15-Sal-21	5.828592143711901
P15-Sal-28	5.099605184253162
P15-Sal-35	5.27877468656616
P15-Sal-7	5.791771792328016
P15-Sal-B	5.181541239592049
P15-SubG-0	4.402042610734066
P15-SubG-14	6.950165103438813
P15-SubG-21	6.693717380783786
P15-SubG-28	6.711006104431389
P15-SubG-35	6.883566259921941
P15-SubG-7	5.174770366210255
P15-SubG-B	5.755322314231516
P15-SupG-0	5.786559859336645
P15-SupG-14	6.229693054915791
P15-SupG-21	6.167210763405055
P15-SupG-28	4.754340371880363
P15-SupG-35	5.4369427113323265
P15-SupG-7	5.414564801721344
P15-SupG-B	5.720453049175274
P15-T-0	4.236458798010734
P15-T-14	5.2342727591187055
P15-T-21	4.767410578825844
P15-T-28	4.7490272336839325
P15-T-35	5.121184662231973
P15-T-7	5.493735234273809
P15-T-B	5.283145514053559
P16-Sal-0	5.400459849909897
P16-Sal-14	5.347361548854429
P16-Sal-21	5.511683484722169
P16-Sal-28	5.4268378621909354
P16-Sal-35	5.38873853856572
P16-Sal-7	5.465743781149557
P16-Sal-B	4.461459425002199
P16-SubG-0	7.730550320871516
P16-SubG-14	6.529098204868663
P16-SubG-21	6.404619796744676
P16-SubG-28	6.079424080419843
P16-SubG-35	6.053005532624982
P16-SubG-7	5.401351052681247
P16-SubG-B	5.033404275362514
P16-SupG-0	5.541319813179311
P16-SupG-14	6.277186228228462
P16-SupG-21	6.534535665176163
P16-SupG-28	5.880233248771207
P16-SupG-35	4.552274542475965
P16-SupG-7	5.799480759042015
P16-SupG-B	2.8460107299899664
P16-T-0	4.884442760410941
P16-T-14	4.662535876738636
P16-T-21	5.128825867623434
P16-T-28	4.8523240419196405
P16-T-35	7.217384227750596
P16-T-7	4.327996800958367
P16-T-B	4.126892423986522
P17-Sal-0	4.818467058157912
P17-Sal-14	4.993941056580688
P17-Sal-21	5.325675215594438
